tool,exp_no,t_import_concat_s,t_transform_s,t_save_s,mem_avg_mb,mem_peak_mb,output_size_mb,created_at
pandas,1,13.21048527000039,0.7709479069994813,0.055026942000040435,335.8216314935065,470.38671875,0.001983642578125,2025-08-12 22:54:17
pyspark,1,28.819171388999848,5.1694708820000415,1.1822825579999972,1950.3261438932664,2969.95703125,0.018060684204101562,2025-08-12 22:55:38
duckdb,1,9.810310263999781,1.3343798500000048,0.005091321999771026,1953.4747121710527,3395.78125,0.0007810592651367188,2025-08-12 23:05:14
polars,1,0.4985992549995899,7.185782852000102,0.007564311999885831,1170.425375405844,1425.99609375,0.0009822845458984375,2025-08-12 23:07:49
pandas,2,13.240796054999464,0.754226254999594,0.047085267000056774,338.132314888535,470.92578125,0.001983642578125,2025-08-12 23:10:05
polars,2,0.6235207849999824,7.260361179000029,0.0013342099996407342,1165.4598991297469,1427.61328125,0.0009822845458984375,2025-08-12 23:10:14
pyspark,2,35.38829934100022,4.695273821000228,1.146889038000154,1915.6986839089243,3409.27734375,0.018060684204101562,2025-08-12 23:11:02
duckdb,2,10.050803172000087,1.3198909719999392,0.0017614710000088962,1988.5075431034484,3425.66015625,0.0007810592651367188,2025-08-12 23:11:15
pandas,3,13.195860052000171,0.7456556409997575,0.03261715899952833,337.1782997532895,470.35546875,0.001983642578125,2025-08-13 00:07:13
polars,3,0.5313536609992298,7.268911649000074,0.0013970429999972112,1169.5949018429487,1427.6171875,0.0009822845458984375,2025-08-13 00:07:22
pyspark,3,36.103545987999496,4.85411786900022,1.098715431000528,1878.944919064748,6426.2265625,0.018060684204101562,2025-08-13 00:08:10
duckdb,3,9.784402858000249,1.3371892199993454,0.004718374999356456,1977.193325109649,3268.85546875,0.0007810592651367188,2025-08-13 00:08:23
